district,subdistrict,community,rooms,halls,area_sqm,total_price_wan,unit_price,metro_distance_m,标题,关键词,est_transaction_price_wan,est_unit_price
盐田,沙头角,中房翰林门,2.0,2.0,70.93,328,46242,,沙头角核心-精装修次新房住宅，拎包入住,"满二年
新上
南
民水民电",295.2,41618
南山,蛇口,桂园住宅楼二区,3.0,2.0,80.35,450,56004,803.0,招商地产开发 花园社区 高实用率三房 育才书包,"近地铁
新上
南
民水民电",405.0,50404
罗湖,黄贝岭,华丽花园,3.0,2.0,100.45,368,36635,456.0,华丽花园精装修3房满五年诚心出售 价格好谈,"近地铁
西北
民水民电
电梯房",331.2,32972
光明,光明中心区,锦鸿花园,2.0,1.0,64.3,133,20684,,好房子，好环境，好地段,"新上
南
民水民电
精装修",119.7,18616
宝安,新安,中洲中央公园,4.0,2.0,207.35,950,45816,430.0,中洲中yang公寓时尚大都会,"近地铁
西南
民水民电
精装修",855.0,41234
南山,蛇口,四海公寓,2.0,1.0,47.93,300,62591,757.0,蛇口四海公寓经典两房户型方正实用率高看四海公园精装业主急售,"近地铁
西南
民水民电
电梯房",270.0,56332
南山,蛇口,天海豪景园,4.0,2.0,233.75,1590,68021,918.0,蛇口四海公园旁天海豪景苑大平面看四海公园湖景豪装业主自住急售,"近地铁
西
民水民电
电梯房",1431.0,61219
南山,蛇口,米兰公寓,1.0,1.0,43.0,345,80232,661.0,蛇口米兰公寓高楼层户型方正视野开阔看房方便有钥匙业主急售,"近地铁
新上
东南
民水民电",310.5,72209
南山,深圳湾,皇庭港湾花园(住宅),3.0,2.0,177.0,2280,128813,359.0,深圳湾皇庭港湾花园精装保养好看海景位置安静近地铁看房有钥匙急,"近地铁
新上
东南
民水民电",2052.0,115932
南山,蛇口,倚园大厦,3.0,2.0,67.0,368,54925,800.0,蛇口四海公园旁倚园大厦三房户型方正看四海公园看房方便业主急售,"近地铁
南
民水民电
精装修",331.2,49432
南山,蛇口,天海豪景园,5.0,2.0,233.75,1550,66310,918.0,蛇口四海公园旁天海豪景苑业主自住看四海公园看房方便业主急售,"近地铁
南北通
民水民电
电梯房",1395.0,59679
宝安,新安,华联城市全景花园,4.0,2.0,162.0,1550,95679,303.0,华联城市全景花园，162平方4房2厅，新挂盘，南北通透，中层,"近地铁
新上
东南
民水民电",1395.0,86111
宝安,沙井,拾悦城,3.0,2.0,86.21,390,45238,410.0,拾悦城 业主急卖,"近地铁
南
民水民电
电梯房",351.0,40714
南山,后海,金色海琴苑,3.0,2.0,88.4,650,73529,671.0,深圳湾后海金色海2琴苑精装三房看花园保养好包税费看房方便急售,"近地铁
新上
南
民水民电",585.0,66176
南山,蛇口,招东小区（三期）,3.0,2.0,93.28,630,67538,607.0,蛇口四海公园旁招东三期带电梯通风采光好精装自住三房保养好急售,"近地铁
新上
南
民水民电",567.0,60784
宝安,沙井,鸿荣源禧园,5.0,2.0,175.92,1050,59686,480.0,鸿荣源禧 园业主急卖,"近地铁
南
民水民电
电梯房",945.0,53717
宝安,沙井,万科翡逸郡（二期）,3.0,2.0,88.07,500,56773,986.0,万科 业主急售,"近地铁
东南
民水民电
电梯房",450.0,51096
宝安,沙井,博林君瑞,4.0,2.0,130.0,710,54615,,博林君瑞 业主诚心出售 看房方便,"新上
西北
民水民电
电梯房",639.0,49154
宝安,沙井,鸿荣源禧园,4.0,2.0,141.94,1100,77497,480.0,鸿荣源禧园 业主急卖 看房方便,"近地铁
南
民水民电
电梯房",990.0,69747
宝安,沙井,西荟城（二期）,3.0,2.0,89.94,358,39804,970.0,西荟城三房 业主诚心出售 地铁 沃尔玛 宝中外国语书包,"近地铁
新上
北
民水民电",322.2,35824
宝安,沙井,拾悦城,5.0,2.0,116.0,550,47413,410.0,拾悦城 业主急卖,"近地铁
新上
南
民水民电",495.0,42672
罗湖,莲塘,四季御园（新世界四季御园）,3.0,2.0,80.07,480,59947,340.0,口岸物业 地铁口 户型方正 南北通透 看房方便,"近地铁
新上
北
民水民电",432.0,53952
宝安,沙井,万科翡悦郡（三期）,3.0,2.0,87.71,350,39904,,万科一期 业主急卖,"南
民水民电
电梯房
拎包入住",315.0,35914
宝安,沙井,珑湾世界花园,1.0,1.0,51.6,160,31007,,珑弯世界花园小户型少有方盘业主诚心出售总价低,"新上
南
民水民电
精装修",144.0,27906
宝安,福永,凤凰花苑,2.0,2.0,70.95,233,32840,,凤凰山脚下山景两房，满五税少，随时看房,"新上
南
民水民电
电梯房",209.7,29556
宝安,沙井,丽沙花都,2.0,2.0,72.0,250,34722,,丽沙花都 年轻时尚二居室 观景房 落地大飘窗 采光视野一流,"新上
南
民水民电",225.0,31250
宝安,福永,中粮凤凰里,3.0,2.0,81.45,300,36832,999.0,精装三房，满五唯一,"近地铁
新上
东北
民水民电",270.0,33149
宝安,沙井,万科星城华府,4.0,2.0,119.26,518,43434,,万科星城 次新小区 业主急卖,"新上
南北通
民水民电
电梯房",466.2,39091
宝安,福永,中粮凤凰里,3.0,2.0,89.0,325,36516,999.0,南北通透看花园全景，满五随时看房,"近地铁
新上
东西通
民水民电",292.5,32864
宝安,沙井,棕榈堡花园,3.0,2.0,78.6,370,47073,,棕榈堡花园 业主急卖,"新上
南
民水民电
电梯房",333.0,42366
宝安,沙井,鸿荣源禧园,5.0,2.0,195.96,1100,56133,480.0,鸿荣源禧园 业主急卖,"近地铁
新上
南北通
民水民电",990.0,50520
宝安,福永,万福人家,3.0,2.0,95.8,290,30271,681.0,万福广场旁三房 周边配套完善 近地铁口近商城,"近地铁
新上
西南
民水民电",261.0,27244
宝安,福永,华强城,2.0,2.0,70.0,270,38571,140.0,地铁口精装朝南两房，满五税少，随时看房,"近地铁
新上
西南
民水民电",243.0,34714
宝安,福永,华强城,3.0,2.0,89.0,360,40449,140.0,华强城精装三房业主诚心出售,"近地铁
新上
北
民水民电",324.0,36404
宝安,沙井,博林君瑞,3.0,2.0,89.03,440,49421,,博林君瑞 业主急卖,"新上
南
民水民电
电梯房",396.0,44479
罗湖,翠竹,翠竹苑,2.0,1.0,52.0,260,50000,326.0,价钱空间大，还价可卖 精装修 南北通 学..位没占用,"近地铁
新上
民水民电
拎包入住",234.0,45000
罗湖,莲塘,金色年华家园,2.0,2.0,60.45,288,47642,490.0,金色年华，二房二厅，高楼层，，正南向，,"近地铁
新上
南
民水民电",259.2,42878
宝安,沙井,拾悦城,4.0,2.0,98.44,380,38602,410.0,拾悦城 业主急卖,"近地铁
新上
南
民水民电",342.0,34742
宝安,沙井,万科翡丽郡（一期）,3.0,2.0,86.83,335,38581,,万科翡丽郡 业主急卖,"新上
南
民水民电
电梯房",301.5,34723
宝安,沙井,丽沙花都,2.0,2.0,76.69,280,36510,,丽沙花都 业主急卖,"新上
南
民水民电
电梯房",252.0,32859
宝安,沙井,西荟城（三期）,4.0,2.0,138.0,650,47101,965.0,西荟城四期大户型 业主急卖,"近地铁
南
民水民电
电梯房",585.0,42391
宝安,沙井,鸿荣源禧园,3.0,2.0,92.08,425,46155,480.0,沙井地铁口佳漾汇商业精装三房大阳台看房方便,"近地铁
新上
东北
民水民电",382.5,41540
宝安,沙井,清平华府,3.0,2.0,107.0,400,37383,,清平华府 业主急卖,"新上
南
民水民电
电梯房",360.0,33645
宝安,沙井,万丰海岸城锦园,3.0,2.0,96.22,395,41051,,万丰海岸城 地铁口物业 精装三房 配套完善 带深外宝,"新上
东南
民水民电
电梯房",355.5,36946
宝安,沙井,万科翡丽郡（一期）,3.0,2.0,86.83,510,58735,,万科翡丽郡精装三房  不要被表象迷倒 还价就卖,"南
民水民电
电梯房
拎包入住",459.0,52862
宝安,新安,新玥庭,3.0,2.0,97.35,410,42116,506.0,新玥庭98平三房两厅精装修可拎包入住，业主诚心出售,"近地铁
新上
西北
民水民电",369.0,37904
宝安,宝安中心区,壹方中心·玖誉(三期),5.0,2.0,176.38,2400,136069,250.0,高层格局改得好的4+1房，看摩天轮，满五唯一，看房方便,"近地铁
新上
东南
民水民电",2160.0,122462
宝安,新安,勤诚达22世纪(和园),6.0,2.0,169.26,1700,100437,220.0,勤诚达22世纪，169平方6房2厅，住家装修，南北通透户型,"近地铁
新上
东南
民水民电",1530.0,90393
罗湖,百仕达,百仕达花园一期,3.0,2.0,129.78,868,66882,461.0,业主诚心出售 看房方便 价格可谈 满五唯一,"近地铁
新上
南北通
民水民电",781.2,60194
宝安,沙井,四海云亭,3.0,2.0,89.59,450,50228,929.0,宝亭锦园 业主急卖,"近地铁
南
民水民电
精装修",405.0,45205
宝安,沙井,四海云亭,3.0,2.0,89.0,356,40000,929.0,宝亭锦园 业主急卖,"近地铁
东南
民水民电
电梯房",320.4,36000
盐田,沙头角,倚山花园（三期）,1.0,,32.68,155,47429,632.0,倚山花园。小面积单位。居住环境舒适，停车便捷，看房电话,"近地铁
新上
北
民水民电",139.5,42686
宝安,沙井,卓越中寰(誉珑明轩),3.0,2.0,95.08,320,33655,,誉珑明轩精装三房看房方便装修保养好,"新上
西
民水民电
精装修",288.0,30290
宝安,福永,华强城,2.0,2.0,71.93,420,58390,140.0,华强城11号线旁小区诚意出售三房,"近地铁
南
民水民电
电梯房",378.0,52551
宝安,沙井,清平华府,3.0,2.0,90.24,408,45212,,清平华府次新小区三房出售,"东南
民水民电
电梯房
精装修",367.2,40691
宝安,沙井,西荟城（二期）,5.0,2.0,143.18,720,50286,970.0,西荟城三期朝南看花园2梯3户五房，业主花200个装修,"近地铁
南
民水民电
电梯房",648.0,45257
宝安,沙井,卓越誉珑荟庭,4.0,2.0,129.7,498,38396,,卓.越中环业主急卖,"新上
南
民水民电
电梯房",448.2,34556
宝安,沙井,珑湾世界花园,3.0,2.0,90.99,365,40114,,中熙珑湾住家三房，次新小区保养好，住家舒适,"南
民水民电
精装修",328.5,36103
宝安,西乡,领航城领秀花园,3.0,2.0,89.9,570,63403,691.0,航城片区住家三房,"近地铁
南
民水民电
精装修",513.0,57063
宝安,沙井,中熙香莎公馆,4.0,2.0,112.3,830,73909,,香莎公馆次新小区三房，总价低,"南
民水民电
电梯房",747.0,66518
宝安,新安,风采轩,3.0,2.0,110.8,618,55776,537.0,风采轩电梯三房周边配套齐全出行有地铁价格可谈,"近地铁
新上
东南
民水民电",556.2,50198
宝安,沙井,京基御景珑庭,4.0,2.0,121.21,530,43725,915.0,沙井新沙天虹旁，次新小区四房，性价比好房,"近地铁
新上
南
民水民电",477.0,39352
宝安,新安,灵芝新村,2.0,2.0,64.3,300,46656,362.0,2房户型 通风采光好 使用率高 配套成熟 价格可谈,"近地铁
新上
西南
民水民电",270.0,41990
宝安,新安,灵芝新村,2.0,2.0,64.3,300,46656,362.0,宝中2房急售，看房方便,"近地铁
新上
西
民水民电",270.0,41990
宝安,沙井,西荟城（一期）,4.0,2.0,88.41,350,39588,827.0,西荟城3+1朝南好楼层，总价低,"近地铁
新上
南
民水民电",315.0,35629
宝安,沙井,拾悦城,5.0,2.0,116.54,450,38613,410.0,11号线地铁口五房双龙抱珠户型看花园朝南向看房方便,"近地铁
新上
南
民水民电",405.0,34752
南山,后海,海月花园（一期）,3.0,2.0,95.74,880,91915,401.0,海月花园新上精装好房 中间楼层3房南北通透,"近地铁
新上
南北通
民水民电",792.0,82724
宝安,沙井,万科星城上郡,3.0,2.0,100.82,395,39178,,万科星城装修保养好，住家舒适大三房，业主诚意诚售,"东南
民水民电
电梯房
精装修",355.5,35260
宝安,沙井,西荟城（一期）,4.0,2.0,88.4,330,37330,827.0,西荟城一期 88平精装四房 装修保养好 看房方便,"近地铁
新上
南
民水民电",297.0,33597
南山,蛇口,文竹园住宅楼,2.0,1.0,58.5,550,94017,702.0,难得一楼带20多平米花园实用率高可做3房育才书包可用价格可谈,"近地铁
南
民水民电
电梯房",495.0,84615
南山,蛇口,雍景湾花园,4.0,2.0,134.99,1680,124453,787.0,老业主 委托4房高赠送满五红本育才二小二中,"近地铁
新上
南北通
民水民电",1512.0,112008
南山,后海,蔚蓝海岸社区首期,5.0,2.0,172.54,1680,97368,113.0,深圳湾云玺旁，蔚蓝海岸首期园中园中空复式，南北通业主出国急售,"近地铁
新上
南
民水民电",1512.0,87631
南山,蛇口,雍景湾花园,2.0,1.0,52.0,650,125000,787.0,雍景湾花园，西南向，高屋靓景，精装，近四海公园和育才二小二中,"近地铁
新上
南
民水民电",585.0,112500
南山,蛇口,园景园名苑,3.0,2.0,73.53,698,94927,861.0,育才二小三中精装3房 近四海公园,"近地铁
新上
南
民水民电",628.2,85434
南山,蛇口,花园城五期,4.0,2.0,139.62,1400,100272,203.0,蛇口核心区育才双书包花园城豪装4房满五红本,"近地铁
新上
西北
民水民电",1260.0,90245
光明,光明中心区,龙光玖龙台,4.0,2.0,103.0,560,54368,422.0,玖龙台四房笋盘中间楼层手慢无,"近地铁
新上
东南
民水民电",504.0,48931
光明,光明中心区,龙光玖龙台,3.0,2.0,88.0,460,52272,422.0,玖龙台三房笋盘面向花园手慢无,"近地铁
新上
东南
民水民电",414.0,47045
宝安,宝安中心区,新锦安海纳公馆,2.0,1.0,76.0,748,98421,569.0,全新装修｜新锦安海纳公馆｜76平方2房｜客厅出阳台｜随时看房,"满二年
近地铁
南
民水民电",673.2,88579
福田,宝安南,鸿翔花园,5.0,2.0,182.0,1250,68681,299.0,五房两厅三卫东南向看小区花园读红岭小桂园中,"近地铁
新上
东南
民水民电",1125.0,61813
南山,南山中心区,南海大厦,3.0,2.0,69.46,540,77742,417.0,老客户换大房急售，南海大厦精装修三房，南二外书包满五税少,"近地铁
南
民水民电
电梯房",486.0,69968
光明,光明中心区,星河天地,4.0,2.0,120.4,590,49003,558.0,星河天地精装四房南北通透中间楼层,"近地铁
新上
南北通
民水民电",531.0,44103
南山,蛇口,米兰第二季,2.0,2.0,62.0,410,66129,533.0,米兰二期近地铁2号线大两房满五好房,"近地铁
新上
南
民水民电",369.0,59516
宝安,福永,龙翔山庄,6.0,2.0,286.69,1000,34880,,区域划分良好，动静分离，满足各家庭成员需求,"新上
民水民电
精装修",900.0,31392
宝安,沙井,西荟城（一期）,4.0,2.0,103.48,396,38268,827.0,西荟城大4房 精装修 朝南 沃尔玛 京基百纳 沙井地铁站,"近地铁
新上
南
民水民电",356.4,34441
南山,蛇口,榆园小区,2.0,2.0,74.66,550,73667,604.0,南山蛇口后海片区高实用大两房业主诚意出售,"近地铁
东南
民水民电
精装修",495.0,66300
罗湖,莲塘,四季御园（新世界四季御园）,1.0,1.0,50.0,300,60000,340.0,新世界四季御园，精装好房1，装修保养好，看房方便,"近地铁
新上
北
民水民电",270.0,54000
南山,后海,半岛花园B区,3.0,2.0,84.56,530,62677,542.0,蛇口后海片区育才二小三中半岛花园B区一梯二户南北通,"近地铁
北
民水民电
精装修",477.0,56409
罗湖,莲塘,四季御园（新世界四季御园）,3.0,2.0,76.68,480,62597,340.0,诚心卖价可谈，正南向三房实用90平米，高楼层采光好，近地铁站,"近地铁
南
民水民电
电梯房",432.0,56337
罗湖,莲塘,四季御园（新世界四季御园）,2.0,1.0,62.0,350,56451,340.0,新世界四季御园，精装2房，装修保养好，看房方便,"近地铁
新上
北
民水民电",315.0,50806
罗湖,莲塘,四季御园（新世界四季御园）,4.0,2.0,151.0,850,56291,340.0,新世界四季御园，精装好房，豪华装修保养好，看房方便,"近地铁
新上
北
民水民电",765.0,50662
罗湖,莲塘,兰亭国际,4.0,2.0,160.0,900,56250,177.0,莲塘口岸 地铁口 正规大三房 户型方正 业主自己住 看房方便,"近地铁
新上
南
民水民电",810.0,50625
罗湖,莲塘,广岭家园,4.0,2.0,122.0,750,61475,234.0,广岭家园，公务员小区，南北通透，跃式大四房，高楼层，红本五年,"近地铁
新上
南
民水民电",675.0,55328
南山,蛇口,雍景湾花园,2.0,2.0,86.7,1100,126874,787.0,雍景湾花园，客厅带阳台，采光好，看花园，安静，近育才二小二中,"近地铁
南
民水民电
电梯房",990.0,114187
南山,蛇口,宏宝花园,3.0,2.0,104.0,618,59423,834.0,蛇口四海公园物业大三房两卫带花园业主诚心出售,"近地铁
新上
南
民水民电",556.2,53481
南山,蛇口,雍景湾花园,2.0,1.0,53.0,690,130188,787.0,蛇口四海公园育才二小二中小户型带私家花园大社区雍景湾花园,"近地铁
新上
南北通
民水民电",621.0,117169
南山,蛇口,雍景湾花园,2.0,2.0,86.7,830,95732,787.0,南山蛇口四海公园育才二小二中雍景湾花园正南户型业主诚心出售,"近地铁
新上
南
民水民电",747.0,86159
南山,蛇口,雍景湾花园,2.0,2.0,86.0,1200,139534,787.0,雍景湾花园，公园物业，比邻育才二小二中，户型方正，车位充足,"近地铁
新上
南
民水民电",1080.0,125581
南山,蛇口,雍景湾花园,4.0,2.0,175.53,2150,122486,787.0,蛇口育才二小二中公园物业大平层视野开阔南北通透,"近地铁
新上
南北通
民水民电",1935.0,110237
南山,蛇口,文竹园住宅楼,2.0,1.0,58.0,460,79310,702.0,南山蛇口育才二小二中文竹园小区两房业主诚心出售有钥匙看房方便,"近地铁
新上
南
民水民电",414.0,71379
南山,后海,金色海琴苑,3.0,2.0,91.23,780,85498,671.0,蛇口后海片区金色海琴苑大三房价格7字头业主诚心出售,"近地铁
新上
东南
民水民电",702.0,76948
南山,蛇口,玫瑰园,3.0,2.0,76.5,580,75816,375.0,四海公园旁育才二小二中玫瑰园三房业主诚心出售低楼层,"近地铁
新上
南
民水民电",522.0,68234
南山,蛇口,四海公寓,1.0,1.0,40.0,288,72000,757.0,四海公寓精装1房2010年房子近四海公园,"近地铁
东南
民水民电
电梯房",259.2,64800
南山,蛇口,四海公寓,2.0,2.0,62.0,480,77419,757.0,南山蛇口四海公园旁四海公寓实用两房业主诚心出售,"近地铁
东
民水民电
电梯房",432.0,69677
罗湖,莲塘,兰亭国际,3.0,2.0,145.15,780,53737,177.0,口岸地铁口南向大三房高楼层香港山景观,"近地铁
南
民水民电
电梯房",702.0,48363
南山,蛇口,四海公寓,2.0,2.0,64.0,510,79687,757.0,四海公园旁四海公寓大两房高增送业主诚心出售,"近地铁
南
民水民电
电梯房",459.0,71718
南山,后海,半岛花园B区,3.0,2.0,84.19,530,62952,542.0,南山后海片区半岛花园三房黄金楼层育才二小三中业主诚心出售,"近地铁
新上
南北通
民水民电",477.0,56657
福田,宝安南,鸿翔花园,4.0,2.0,182.7,1300,71154,299.0,业主急售，降价16万，随时可以看房，居家首选，费用少,"近地铁
新上
东南
民水民电",1170.0,64039
罗湖,新秀,深港建筑公司住宅楼,2.0,2.0,79.93,280,35030,723.0,新秀电梯小高层、使用率高，三面采光带入户，一线河景，诚售可谈,"近地铁
新上
南
民水民电",252.0,31527
罗湖,翠竹,逸翠园,3.0,2.0,114.46,630,55041,578.0,翡翠星空新上）2013年我帮业主买的，钥匙在手，看房方便，,"近地铁
新上
东南
民水民电",567.0,49537
宝安,新安,洪浪一村,3.0,2.0,94.0,530,56382,,18区洪浪一村房子干净舒适赠送多业主诚心卖,"新上
南
民水民电
精装修",477.0,50744
罗湖,莲塘,广岭家园,6.0,2.0,159.12,1300,81699,234.0,广岭家园顶复出售豪华装修视野开阔车位充足口岸地铁口,"近地铁
南
民水民电
电梯房",1170.0,73529
